url,tfidf_sim,title,policyList,policyTitles,USApolicyCitation,successful_policyList,successful_policyTitles,articlePdf,total_successful_policy,successfulPolicyPercentage,bert_large_uncased_sim,all_distilroberta_v1_sim,all_mpnet_base_v2_sim,all_MiniLM_L6_v2_sim,political_bert_sim,legal_bert_sim,specter_sim,scibert_sim,clinical_bert_sim,biobert_base_cased_v12_sim,sentence_t5_xl_sim,mean_tfidf_sim,mean_bert_large_uncased_sim,mean_all_distilroberta_v1_sim,mean_all_mpnet_base_v2_sim,mean_all_MiniLM_L6_v2_sim,mean_political_bert_sim,mean_legal_bert_sim,mean_specter_sim,mean_scibert_sim,mean_clinical_bert_sim,mean_biobert_base_cased_v12_sim,mean_sentence_t5_xl_sim
https://doi.org/10.1001/archderm.138.12.1584,[0.21],acne vulgaris,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6333507/pdf'],"['Approaches to limit systemic antibiotic use in acne: Systemic alternatives, emerging topical therapies, dietary modification, and laser and light-based treatments.']",1,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6333507/pdf'],['3_0_approaches to limit systemic antibiotic use in acne systemic alternatives emerging topical therapies dietary modification and laser and lightbased treatments.pdf'],3_acne vulgaris.pdf,1,100.0,[0.551],[0.415],[0.549],[0.521],[0.485],[0.655],[0.759],[0.66],[0.86],[0.808],[0.709],0.21,0.551,0.415,0.549,0.521,0.485,0.655,0.759,0.66,0.86,0.808,0.709
https://doi.org/10.1001/archderm.139.3.318,"[0.0, 0.0]",the frequency of common skin conditions in preschoolaged children in australia,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4448221/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6397947/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6483543/pdf']","['Topical antifungals for seborrhoeic dermatitis', 'Interventions for infantile seborrhoeic dermatitis (including cradle cap)', 'Topical anti‐inflammatory agents for seborrhoeic dermatitis of the face or scalp']",3,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6397947/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4448221/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6483543/pdf']","['5_1_interventions for infantile seborrhoeic dermatitis including cradle cap.pdf', '5_0_topical antifungals for seborrhoeic dermatitis.pdf', '5_2_topical anti‐inflammatory agents for seborrhoeic dermatitis of the face or scalp.pdf']",5_the frequency of common skin conditions in preschoolaged children in australia.pdf,3,100.0,"[0.658, 0.601, 0.595]","[0.473, 0.298, 0.29]","[0.626, 0.388, 0.416]","[0.505, 0.321, 0.308]","[0.735, 0.694, 0.723]","[0.878, 0.864, 0.875]","[0.78, 0.679, 0.712]","[0.777, 0.758, 0.778]","[0.905, 0.896, 0.906]","[0.916, 0.894, 0.909]","[0.686, 0.652, 0.668]",0.0,0.618,0.354,0.477,0.378,0.717,0.872,0.724,0.771,0.902,0.906,0.669
https://doi.org/10.1001/archgenpsychiatry.2009.173,[0.0],brief personalitytargeted coping skills interventions and survival as a non–drug user over a 2year period during adolescence,['https://purl.fdlp.gov/GPO/gpo75951'],"['Facing addiction in America :\xa0the Surgeon General’s report on alcohol, drugs and heath.']",1,['https://purl.fdlp.gov/GPO/gpo75951'],['16_0_facing addiction in america \xa0the surgeon generals report on alcohol drugs and heath.pdf'],16_brief personalitytargeted coping skills interventions and survival as a non–drug user over a 2year period during adolescence.pdf,1,100.0,[0.735],[0.23],[0.281],[0.337],[0.767],[0.874],[0.676],[0.664],[0.887],[0.91],[0.674],0.0,0.735,0.23,0.281,0.337,0.767,0.874,0.676,0.664,0.887,0.91,0.674
https://doi.org/10.1001/archgenpsychiatry.2009.186,"[0.0, 0.0, 0.0, 0.0]",childhood adversities and adult psychiatric disorders in the national comorbidity survey replication i,"['https://www.aclu.org/legal-document/rilr-v-johnson-amended-motion-preliminary-injunction', 'https://www.jaacap.org/action/showPdf?pii=S0890-8567%2820%2930280-X', 'https://www.hhs.texas.gov/sites/default/files/documents/services/mental-health-substance-use/mommies-toolkit-neonatal-abstinence-syndrome.pdf', 'https://hhs.texas.gov/sites/default/files/documents/services/mental-health-substance-use/mommies-toolkit-neonatal-abstinence-syndrome.pdf', 'https://www.congress.gov/event/116th-congress/house-event/109762', 'http://purl.fdlp.gov/GPO/gpo63620']","['RILR v. Johnson - Amended Motion for Preliminary Injunction', 'Clinical Practice Guideline for the Assessment and Treatment of Children and Adolescents With Anxiety Disorders', 'The Mommies Toolkit: Improving Outcomes for Families Impacted by Neonatal Abstinence Syndrome', 'The Mommies Toolkit: Improving Outcomes for Families Impacted by Neonatal Abstinence Syndrome', 'Identifying, Preventing, and Treating Childhood Trauma: A Pervasive Public Health Issue that Needs Greater Federal Attention', 'Trauma-Informed care in behavioral health services :\xa0a treatment improvement protocol.']",6,"['https://hhs.texas.gov/sites/default/files/documents/services/mental-health-substance-use/mommies-toolkit-neonatal-abstinence-syndrome.pdf', 'http://purl.fdlp.gov/GPO/gpo63620', 'https://www.hhs.texas.gov/sites/default/files/documents/services/mental-health-substance-use/mommies-toolkit-neonatal-abstinence-syndrome.pdf', 'https://www.jaacap.org/action/showPdf?pii=S0890-8567%2820%2930280-X']","['17_3_the mommies toolkit improving outcomes for families impacted by neonatal abstinence syndrome.pdf', '17_5_traumainformed care in behavioral health services \xa0a treatment improvement protocol.pdf', '17_2_the mommies toolkit improving outcomes for families impacted by neonatal abstinence syndrome.pdf', '17_1_clinical practice guideline for the assessment and treatment of children and adolescents with anxiety disorders.pdf']",17_childhood adversities and adult psychiatric disorders in the national comorbidity survey replication i.pdf,4,66.67,"[0.835, 0.817, 0.836, 0.854]","[0.237, 0.281, 0.236, 0.442]","[0.155, 0.442, 0.155, 0.435]","[0.309, 0.378, 0.309, 0.505]","[0.795, 0.825, 0.793, 0.798]","[0.905, 0.876, 0.905, 0.867]","[0.697, 0.77, 0.697, 0.803]","[0.717, 0.704, 0.719, 0.73]","[0.901, 0.884, 0.902, 0.899]","[0.903, 0.907, 0.902, 0.906]","[0.684, 0.709, 0.687, 0.692]",0.0,0.836,0.299,0.297,0.375,0.803,0.888,0.742,0.717,0.897,0.905,0.693
https://doi.org/10.1001/archgenpsychiatry.2010.168,"[0.0, 0.0, 0.0, 0.093]",antidepressant monotherapy vs sequential pharmacotherapy and mindfulnessbased cognitive therapy or placebo for relapse prophylaxis in recurrent depression,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8092632/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4994791/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8978530/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4204633/pdf', 'https://www.rand.org/pubs/research_reports/RR1138.html']","['Approaches for discontinuation versus continuation of long‐term antidepressant use for depressive and anxiety disorders in adults', 'Canadian Network for Mood and Anxiety Treatments (CANMAT) 2016 Clinical Guidelines for the Management of Adults with Major Depressive Disorder - Section 2. Psychological Treatments', 'Interventions for preventing relapse and recurrence of a depressive disorder in children and adolescents', 'Citalopram versus other anti-depressive agents for depression', 'Meditation for Major Depressive Disorder']",5,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4994791/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8092632/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4204633/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8978530/pdf']","['20_1_canadian network for mood and anxiety treatments canmat 2016 clinical guidelines for the management of adults with major depressive disorder  section 2 psychological treatments.pdf', '20_0_approaches for discontinuation versus continuation of long‐term antidepressant use for depressive and anxiety disorders in adults.pdf', '20_3_citalopram versus other antidepressive agents for depression.pdf', '20_2_interventions for preventing relapse and recurrence of a depressive disorder in children and adolescents.pdf']",20_antidepressant monotherapy vs sequential pharmacotherapy and mindfulnessbased cognitive therapy or placebo for relapse prophylaxis in recurrent depression.pdf,4,80.0,"[0.863, 0.879, 0.862, 0.842]","[0.495, 0.555, 0.489, 0.534]","[0.539, 0.662, 0.48, 0.626]","[0.537, 0.624, 0.568, 0.608]","[0.838, 0.876, 0.851, 0.834]","[0.891, 0.911, 0.865, 0.876]","[0.846, 0.868, 0.833, 0.802]","[0.696, 0.696, 0.716, 0.704]","[0.925, 0.928, 0.913, 0.923]","[0.923, 0.935, 0.915, 0.931]","[0.795, 0.813, 0.814, 0.781]",0.023,0.862,0.518,0.577,0.584,0.85,0.886,0.837,0.703,0.922,0.926,0.801
https://doi.org/10.1001/archgenpsychiatry.2010.6,[0.0],association between cannabis use and psychosisrelated outcomes using sibling pair analysis in a cohort of young adults,"['https://www.rand.org/pubs/working_papers/WR769.html', 'https://purl.fdlp.gov/GPO/gpo129289', 'https://www.federalregister.gov/documents/2011/07/08/2011-16994/denial-of-petition-to-initiate-proceedings-to-reschedule-marijuana', 'https://www.congress.gov/event/116th-congress/senate-event/LC64544/text?s=1&r=16383', 'https://cannabis.ny.gov/system/files/documents/2021/09/marijuana_legalization_impact_assessment_7-13-18.pdf', 'https://cannabis.ny.gov/system/files/documents/2019/03/executivesummary07-13-18.pdf']","['Examining the Impact of Marijuana Legalization on Harms Associated with Marijuana Use', 'Challenges for cannabis and banking :\xa0outside perspectives : hearing before the Committee on Banking, Housing, and Urban Affairs, United States Senate, One Hundred Sixteenth Congress, first session, on examining challenges that state-sanctioned businesses in the cannabis industry have when attempting to access mainstream financial services, July 23, 2019.', 'Denial of Petition To Initiate Proceedings To Reschedule Marijuana', 'S.Hrg. 116-82 — CHALLENGES FOR CANNABIS AND BANKING: OUTSIDE PERSPECTIVES', 'Assessment Of The Potential Impact Of Regulated Marijuana In New York State', 'Executive Summary']",6,"['https://cannabis.ny.gov/system/files/documents/2021/09/marijuana_legalization_impact_assessment_7-13-18.pdf', 'https://cannabis.ny.gov/system/files/documents/2019/03/executivesummary07-13-18.pdf']","['21_4_assessment of the potential impact of regulated marijuana in new york state.pdf', '21_5_executive summary.pdf']",21_association between cannabis use and psychosisrelated outcomes using sibling pair analysis in a cohort of young adults.pdf,2,33.33,"[0.688, 0.569]","[0.312, -0.032]","[0.323, 0.064]","[0.479, 0.093]","[0.797, 0.542]","[0.842, 0.766]","[0.605, 0.61]","[0.682, 0.498]","[0.89, 0.743]","[0.898, 0.788]","[0.737, 0.663]",0.0,0.628,0.14,0.194,0.286,0.669,0.804,0.607,0.59,0.817,0.843,0.7
https://doi.org/10.1001/archinte.161.19.2357,"[0.0, 0.0, 0.0]",reducing infections among women undergoing cesarean section in colombia by means of continuous quality improvement methods,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4007637/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8078551/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6464541/pdf', 'https://wtgrantfoundation.org/studying-the-use-of-research-evidence-a-review-of-methods', 'http://wtgrantfoundation.org/studying-the-use-of-research-evidence-a-review-of-methods']","['Antibiotic prophylaxis versus no prophylaxis for preventing infection after cesarean section', 'Antibiotic prophylaxis versus no prophylaxis for preventing infection after cesarean section', 'Interventions to improve antibiotic prescribing practices for hospital inpatients', 'Studying the Use of Research Evidence: A Review of Methods', 'Studying the Use of Research Evidence: A Review of Methods']",5,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8078551/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4007637/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6464541/pdf']","['34_1_antibiotic prophylaxis versus no prophylaxis for preventing infection after cesarean section.pdf', '34_0_antibiotic prophylaxis versus no prophylaxis for preventing infection after cesarean section.pdf', '34_2_interventions to improve antibiotic prescribing practices for hospital inpatients.pdf']",34_reducing infections among women undergoing cesarean section in colombia by means of continuous quality improvement methods.pdf,3,60.0,"[0.837, 0.824, 0.835]","[0.622, 0.636, 0.34]","[0.661, 0.663, 0.44]","[0.701, 0.707, 0.435]","[0.799, 0.798, 0.833]","[0.881, 0.881, 0.862]","[0.875, 0.878, 0.765]","[0.709, 0.707, 0.729]","[0.888, 0.882, 0.886]","[0.928, 0.928, 0.907]","[0.757, 0.748, 0.725]",0.0,0.832,0.533,0.588,0.614,0.81,0.875,0.839,0.715,0.885,0.921,0.743
https://doi.org/10.1001/archinte.162.8.893,"[0.144, 0.093, 0.0]",predictors of sleepdisordered breathing in communitydwelling adultssubtitlethe sleep heart health studysubtitle,"['https://www.cms.gov/medicare-coverage-database/details/technology-assessments-details.aspx?TAId=24', 'https://www.uspreventiveservicestaskforce.org/Page/Document/UpdateSummaryFinal/obstructive-sleep-apnea-in-adults-screening', 'https://stacks.cdc.gov/view/cdc/26105', 'https://www.cms.gov/medicare-coverage-database/details/nca-details.aspx?NCAId=227&type=Closed', 'https://bopc.ca.gov/wp-content/uploads/sites/41/2018/08/NASATM_2018_219934-2_corrected.pdf', 'https://www.cms.gov/medicare-coverage-database/details/technology-assessments-details.aspx?TAId=48', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7137251/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3021364/pdf']","['Effectiveness of Portable Monitoring Devices for Diagnosing Obstructive Sleep Apnea: Update of a Systematic Review', 'Final Update Summary: Obstructive Sleep Apnea in Adults: Screening Task Force', 'PCD collection : veterans health', 'National Coverage Analysis (NCA) for Sleep Testing for Obstructive Sleep Apnea (OSA) (CAG-00405N)', 'San Francisco Bar Pilot Fatigue Study (NASA/TM-2018-219934)', 'Home diagnosis of Obstructive Sleep Apnea-Hypopnea Syndrome', 'Educational, supportive and behavioural interventions to improve usage of continuous positive airway pressure machines in adults with obstructive sleep apnoea', 'Interactions Between Obesity and Obstructive Sleep Apnea - Implications for Treatment']",8,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3021364/pdf', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7137251/pdf', 'https://bopc.ca.gov/wp-content/uploads/sites/41/2018/08/NASATM_2018_219934-2_corrected.pdf']","['36_7_interactions between obesity and obstructive sleep apnea  implications for treatment.pdf', '36_6_educational supportive and behavioural interventions to improve usage of continuous positive airway pressure machines in adults with obstructive sleep apnoea.pdf', '36_4_san francisco bar pilot fatigue study nasatm2018219934.pdf']",36_predictors of sleepdisordered breathing in communitydwelling adultssubtitlethe sleep heart health studysubtitle.pdf,3,37.5,"[0.714, 0.782, 0.688]","[0.551, 0.456, 0.289]","[0.584, 0.577, 0.187]","[0.604, 0.493, 0.2]","[0.819, 0.827, 0.717]","[0.889, 0.895, 0.85]","[0.803, 0.703, 0.736]","[0.667, 0.708, 0.615]","[0.909, 0.92, 0.877]","[0.906, 0.896, 0.866]","[0.788, 0.8, 0.706]",0.079,0.728,0.432,0.449,0.432,0.788,0.878,0.747,0.663,0.902,0.889,0.765
https://doi.org/10.1001/archinte.164.22.2483,[0.08],clinical usefulness of ddimer depending on clinical probability and cutoff value in outpatients with suspected pulmonary embolism,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6457638/pdf'],['D‐dimer test for excluding the diagnosis of pulmonary embolism'],1,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6457638/pdf'],['43_0_d‐dimer test for excluding the diagnosis of pulmonary embolism.pdf'],43_clinical usefulness of ddimer depending on clinical probability and cutoff value in outpatients with suspected pulmonary embolism.pdf,1,100.0,[0.827],[0.691],[0.74],[0.695],[0.847],[0.926],[0.851],[0.76],[0.914],[0.942],[0.769],0.08,0.827,0.691,0.74,0.695,0.847,0.926,0.851,0.76,0.914,0.942,0.769
https://doi.org/10.1001/archinte.167.19.2103,[0.127],race ethnicity and medical student wellbeing in the united states,"['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8664003/pdf', 'https://nam.edu/burnout-among-health-care-professionals-a-call-to-explore-and-address-this-underrecognized-threat-to-safe-high-quality-care/']","['Mindfulness‐based psychological interventions for improving mental well‐being in medical students and junior doctors', 'Burnout Among Health Care Professionals: A Call to Explore and Address This Underrecognized Threat to Safe, High-Quality Care']",2,['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8664003/pdf'],['45_0_mindfulness‐based psychological interventions for improving mental well‐being in medical students and junior doctors.pdf'],45_race ethnicity and medical student wellbeing in the united states.pdf,1,50.0,[0.777],[0.372],[0.513],[0.311],[0.731],[0.849],[0.778],[0.753],[0.891],[0.917],[0.73],0.127,0.777,0.372,0.513,0.311,0.731,0.849,0.778,0.753,0.891,0.917,0.73
